hassaniya,français,categorie,exemple,source
aldyf yt56 al5ym aly at3shyh,Trompé par les apparences,proverbe,"Proverbe : 'aldyf yt56 al5ym aly at3shyh'
Signification : Trompé par les apparences",ahmed02mk/amthal-hassaniya
dyf ljwad aydyf,Vertus des généreux,proverbe,"Proverbe : 'dyf ljwad aydyf'
Signification : Vertus des généreux",ahmed02mk/amthal-hassaniya
3afya 27md bn 2m7md,Justice parfaite,proverbe,"Proverbe : '3afya 27md bn 2m7md'
Signification : Justice parfaite",ahmed02mk/amthal-hassaniya
al3br ma tt56 anharyn,Événement oublié,proverbe,"Proverbe : 'al3br ma tt56 anharyn'
Signification : Événement oublié",ahmed02mk/amthal-hassaniya
al3jlan yt56 gal shrtat,Précipitation et lâcheté,proverbe,"Proverbe : 'al3jlan yt56 gal shrtat'
Signification : Précipitation et lâcheté",ahmed02mk/amthal-hassaniya
34r 2nwash,Excuses du paresseux,proverbe,"Proverbe : '34r 2nwash'
Signification : Excuses du paresseux",ahmed02mk/amthal-hassaniya
al3z fal3ynyn,Encourager la famille,proverbe,"Proverbe : 'al3z fal3ynyn'
Signification : Encourager la famille",ahmed02mk/amthal-hassaniya
236yn ma t5ly ally yb8yn,Éviter de demander,proverbe,"Proverbe : '236yn ma t5ly ally yb8yn'
Signification : Éviter de demander",ahmed02mk/amthal-hassaniya
38m al8l8 ma yrk,Résilience du généreux,proverbe,"Proverbe : '38m al8l8 ma yrk'
Signification : Résilience du généreux",ahmed02mk/amthal-hassaniya
3glt al23ma 23l far,Comparaison abusive,proverbe,"Proverbe : '3glt al23ma 23l far'
Signification : Comparaison abusive",ahmed02mk/amthal-hassaniya
3kd 2dkdk l7jar,La chance,proverbe,"Proverbe : '3kd 2dkdk l7jar'
Signification : La chance",ahmed02mk/amthal-hassaniya
l3gl 2shbh 23gl altjrba,Expérience,proverbe,"Proverbe : 'l3gl 2shbh 23gl altjrba'
Signification : Expérience",ahmed02mk/amthal-hassaniya
3lmnahm al3wm 3ad ay8mswn,Ingratitude,proverbe,"Proverbe : '3lmnahm al3wm 3ad ay8mswn'
Signification : Ingratitude",ahmed02mk/amthal-hassaniya
3lka l7bar,Résultat nul,proverbe,"Proverbe : '3lka l7bar'
Signification : Résultat nul",ahmed02mk/amthal-hassaniya
3mwd twrjh,Apparence trompeuse,proverbe,"Proverbe : '3mwd twrjh'
Signification : Apparence trompeuse",ahmed02mk/amthal-hassaniya
al3yn myzan,Intuition,proverbe,"Proverbe : 'al3yn myzan'
Signification : Intuition",ahmed02mk/amthal-hassaniya
far 2hl 2jbyr,Malheur ironique,proverbe,"Proverbe : 'far 2hl 2jbyr'
Signification : Malheur ironique",ahmed02mk/amthal-hassaniya
fr7t lkrad,Joie factice,proverbe,"Proverbe : 'fr7t lkrad'
Signification : Joie factice",ahmed02mk/amthal-hassaniya
fl7 azjaj ma ynjbr,Irréparable,proverbe,"Proverbe : 'fl7 azjaj ma ynjbr'
Signification : Irréparable",ahmed02mk/amthal-hassaniya
galt al7jra abtlyn galt al6wba ma gln shy,Inégalité,proverbe,"Proverbe : 'galt al7jra abtlyn galt al6wba ma gln shy'
Signification : Inégalité",ahmed02mk/amthal-hassaniya
2l gsdk ma 7krk,Aide les autres,proverbe,"Proverbe : '2l gsdk ma 7krk'
Signification : Aide les autres",ahmed02mk/amthal-hassaniya
k6rt dm wla myt sa7b,Valeur famille,proverbe,"Proverbe : 'k6rt dm wla myt sa7b'
Signification : Valeur famille",ahmed02mk/amthal-hassaniya
gmlt lk6yfa,Ruse cachée,proverbe,"Proverbe : 'gmlt lk6yfa'
Signification : Ruse cachée",ahmed02mk/amthal-hassaniya
kard 56 alfzfaz,Sans but,proverbe,"Proverbe : 'kard 56 alfzfaz'
Signification : Sans but",ahmed02mk/amthal-hassaniya
2kbr t7t al5yma la tkbr 23lyk,Apparences trompeuses,proverbe,"Proverbe : '2kbr t7t al5yma la tkbr 23lyk'
Signification : Apparences trompeuses",ahmed02mk/amthal-hassaniya
2kbysh al2nbya2,Auto-destruction,proverbe,"Proverbe : '2kbysh al2nbya2'
Signification : Auto-destruction",ahmed02mk/amthal-hassaniya
k4ba w7da tml mzwd walthanya ma dyr fyh 7b,Mentir est dangereux,proverbe,"Proverbe : 'k4ba w7da tml mzwd walthanya ma dyr fyh 7b'
Signification : Mentir est dangereux",ahmed02mk/amthal-hassaniya
krm mwl l3shar,Fierté vaine,proverbe,"Proverbe : 'krm mwl l3shar'
Signification : Fierté vaine",ahmed02mk/amthal-hassaniya
alksb b2shrw6h,Planifiez bien,proverbe,"Proverbe : 'alksb b2shrw6h'
Signification : Planifiez bien",ahmed02mk/amthal-hassaniya
ksh7 l7shysh,Réconciliation,proverbe,"Proverbe : 'ksh7 l7shysh'
Signification : Réconciliation",ahmed02mk/amthal-hassaniya
kl 28zal 3nd 2m 5nwf,Tout est relatif,proverbe,"Proverbe : 'kl 28zal 3nd 2m 5nwf'
Signification : Tout est relatif",ahmed02mk/amthal-hassaniya
klba 2hl lkrayfa,Inutile et nuisible,proverbe,"Proverbe : 'klba 2hl lkrayfa'
Signification : Inutile et nuisible",ahmed02mk/amthal-hassaniya
klha 3ajbu shy5u wab3yru,Fier de soi,proverbe,"Proverbe : 'klha 3ajbu shy5u wab3yru'
Signification : Fier de soi",ahmed02mk/amthal-hassaniya
alklb l6rsh,Tous les chemins mènent,proverbe,"Proverbe : 'alklb l6rsh'
Signification : Tous les chemins mènent",ahmed02mk/amthal-hassaniya
kl 87ka sabkh t5myma,Réfléchir avant,proverbe,"Proverbe : 'kl 87ka sabkh t5myma'
Signification : Réfléchir avant",ahmed02mk/amthal-hassaniya
kl 2yd tms7 3n 2wjhh,Se contenter,proverbe,"Proverbe : 'kl 2yd tms7 3n 2wjhh'
Signification : Se contenter",ahmed02mk/amthal-hassaniya
kys gbl 2t8ys,Planifier d'abord,proverbe,"Proverbe : 'kys gbl 2t8ys'
Signification : Planifier d'abord",ahmed02mk/amthal-hassaniya
la 27rkt 58ra byabsa,Ne pas flatter,proverbe,"Proverbe : 'la 27rkt 58ra byabsa'
Signification : Ne pas flatter",ahmed02mk/amthal-hassaniya
la t3abwn bzrk l38am,Question inutile,proverbe,"Proverbe : 'la t3abwn bzrk l38am'
Signification : Question inutile",ahmed02mk/amthal-hassaniya
la t3ady mnswr,Échec assuré,proverbe,"Proverbe : 'la t3ady mnswr'
Signification : Échec assuré",ahmed02mk/amthal-hassaniya
la a6abk w5wtkm a3raya,Encourager la coopération,proverbe,"Proverbe : 'la a6abk w5wtkm a3raya'
Signification : Encourager la coopération",ahmed02mk/amthal-hassaniya
2lbl ma tskn m3 l7myr,Importance de l'unité,proverbe,"Proverbe : '2lbl ma tskn m3 l7myr'
Signification : Importance de l'unité",ahmed02mk/amthal-hassaniya
lbn 2bryk byh 3zt kb,L'amour excessif,proverbe,"Proverbe : 'lbn 2bryk byh 3zt kb'
Signification : L'amour excessif",ahmed02mk/amthal-hassaniya
l7sat albwyh,Bakhil extrême,proverbe,"Proverbe : 'l7sat albwyh'
Signification : Bakhil extrême",ahmed02mk/amthal-hassaniya
l7mtu mshwya,Homme efficace,proverbe,"Proverbe : 'l7mtu mshwya'
Signification : Homme efficace",ahmed02mk/amthal-hassaniya
2lsan ykr walglb 7jra,Incohérence,proverbe,"Proverbe : '2lsan ykr walglb 7jra'
Signification : Incohérence",ahmed02mk/amthal-hassaniya
l8nm 2kbrha 2smnh,Valeur réelle,proverbe,"Proverbe : 'l8nm 2kbrha 2smnh'
Signification : Valeur réelle",ahmed02mk/amthal-hassaniya
alkbr la bdal mn shy,Vertu a un prix,proverbe,"Proverbe : 'alkbr la bdal mn shy'
Signification : Vertu a un prix",ahmed02mk/amthal-hassaniya
almsh bshwr 2l7k kl shawr,Prudence nécessaire,proverbe,"Proverbe : 'almsh bshwr 2l7k kl shawr'
Signification : Prudence nécessaire",ahmed02mk/amthal-hassaniya
almrswl abrd alrs y8yr ma ybrd l5lak,Agir soi-même,proverbe,"Proverbe : 'almrswl abrd alrs y8yr ma ybrd l5lak'
Signification : Agir soi-même",ahmed02mk/amthal-hassaniya
lm3yz 2nyak ally bla nyak,Satisfaction,proverbe,"Proverbe : 'lm3yz 2nyak ally bla nyak'
Signification : Satisfaction",ahmed02mk/amthal-hassaniya
almwt 2la sh5ra wn5ra,Moquer la mort,proverbe,"Proverbe : 'almwt 2la sh5ra wn5ra'
Signification : Moquer la mort",ahmed02mk/amthal-hassaniya
almwt fr8 walrk mah fr8,Mourir avec honneur,proverbe,"Proverbe : 'almwt fr8 walrk mah fr8'
Signification : Mourir avec honneur",ahmed02mk/amthal-hassaniya
lmra kyf alsyka 2la hmk 2tskmh adkdkh,Nature féminine,proverbe,"Proverbe : 'lmra kyf alsyka 2la hmk 2tskmh adkdkh'
Signification : Nature féminine",ahmed02mk/amthal-hassaniya
lmra 236yh 2shbr ta6aama 24ra3,Ambition féminine,proverbe,"Proverbe : 'lmra 236yh 2shbr ta6aama 24ra3'
Signification : Ambition féminine",ahmed02mk/amthal-hassaniya
lmra fmnyn 2slat mah fbld 2mnyn 2rbat,Destin personnel,proverbe,"Proverbe : 'lmra fmnyn 2slat mah fbld 2mnyn 2rbat'
Signification : Destin personnel",ahmed02mk/amthal-hassaniya
2wl ma ygdm almjnwn ras,Intérêt personnel,proverbe,"Proverbe : '2wl ma ygdm almjnwn ras'
Signification : Intérêt personnel",ahmed02mk/amthal-hassaniya
lwla al3jla ma y8s 7d,Avertissement gourmandise,proverbe,"Proverbe : 'lwla al3jla ma y8s 7d'
Signification : Avertissement gourmandise",ahmed02mk/amthal-hassaniya
alwjh 2ksf mn 2l ydrk shy,Physionomie,proverbe,"Proverbe : 'alwjh 2ksf mn 2l ydrk shy'
Signification : Physionomie",ahmed02mk/amthal-hassaniya
lyla fy al5yr 25yr,Profiter occasions,proverbe,"Proverbe : 'lyla fy al5yr 25yr'
Signification : Profiter occasions",ahmed02mk/amthal-hassaniya
2lly b8ak w7lk wally krhk rw7k,Encourager l'amour,proverbe,"Proverbe : '2lly b8ak w7lk wally krhk rw7k'
Signification : Encourager l'amour",ahmed02mk/amthal-hassaniya
2l at3y6 l la t3y6 mnuu,Préserver les liens,proverbe,"Proverbe : '2l at3y6 l la t3y6 mnuu'
Signification : Préserver les liens",ahmed02mk/amthal-hassaniya
2l 25wt fl5yan ma ybt6 fal8zzy,Se protéger,proverbe,"Proverbe : '2l 25wt fl5yan ma ybt6 fal8zzy'
Signification : Se protéger",ahmed02mk/amthal-hassaniya
al 5ls dynu 2ktl 23dwh,Le dénigrement,proverbe,"Proverbe : 'al 5ls dynu 2ktl 23dwh'
Signification : Le dénigrement",ahmed02mk/amthal-hassaniya
2l dayr lmhaba yshryh,Respect mutuel,proverbe,"Proverbe : '2l dayr lmhaba yshryh'
Signification : Respect mutuel",ahmed02mk/amthal-hassaniya
ally sbkk blwyla sbkk b7wayla,Expérience avec l'âge,proverbe,"Proverbe : 'ally sbkk blwyla sbkk b7wayla'
Signification : Expérience avec l'âge",ahmed02mk/amthal-hassaniya
2l shkrwh 2lfyn ma y3ybwh 2thnyn,Opinion collective,proverbe,"Proverbe : '2l shkrwh 2lfyn ma y3ybwh 2thnyn'
Signification : Opinion collective",ahmed02mk/amthal-hassaniya
2lly shar aldwn blhwn shk 2n 8abn whw m8bwn,Éviter les défauts,proverbe,"Proverbe : '2lly shar aldwn blhwn shk 2n 8abn whw m8bwn'
Signification : Éviter les défauts",ahmed02mk/amthal-hassaniya
2l 6wl 2sr ylkah wjh bla 5nafr,Éviter les chemins dangereux,proverbe,"Proverbe : '2l 6wl 2sr ylkah wjh bla 5nafr'
Signification : Éviter les chemins dangereux",ahmed02mk/amthal-hassaniya
ally 38 27nsh y5l3 l7bl,Prudence après douleur,proverbe,"Proverbe : 'ally 38 27nsh y5l3 l7bl'
Signification : Prudence après douleur",ahmed02mk/amthal-hassaniya
2l 38k ma 38yt 2kwl 2nk bla snyn,Récompenser comme on nous récompense,proverbe,"Proverbe : '2l 38k ma 38yt 2kwl 2nk bla snyn'
Signification : Récompenser comme on nous récompense",ahmed02mk/amthal-hassaniya
2l 3zk 3zuu,Aimer qui nous aime,proverbe,"Proverbe : '2l 3zk 3zuu'
Signification : Aimer qui nous aime",ahmed02mk/amthal-hassaniya
2l 8dak 8dyh,Récompenser le généreux,proverbe,"Proverbe : '2l 8dak 8dyh'
Signification : Récompenser le généreux",ahmed02mk/amthal-hassaniya
2l fkrsh l38am ma yrads,Éviter le mal,proverbe,"Proverbe : '2l fkrsh l38am ma yrads'
Signification : Éviter le mal",ahmed02mk/amthal-hassaniya
2l fat ma 3lyh altlfat,Oublier le passé,proverbe,"Proverbe : '2l fat ma 3lyh altlfat'
Signification : Oublier le passé",ahmed02mk/amthal-hassaniya
2l aftr y7mdha,Récolter ce que l'on sème,proverbe,"Proverbe : '2l aftr y7mdha'
Signification : Récolter ce que l'on sème",ahmed02mk/amthal-hassaniya
2lly fwg al8r8 25sara,Éviter le gaspillage,proverbe,"Proverbe : '2lly fwg al8r8 25sara'
Signification : Éviter le gaspillage",ahmed02mk/amthal-hassaniya
2lly kal lk ykwl fyk,La rumeur se propage,proverbe,"Proverbe : '2lly kal lk ykwl fyk'
Signification : La rumeur se propage",ahmed02mk/amthal-hassaniya
2lly kd 23l mraksh ybnyh,Construire et progresser,proverbe,"Proverbe : '2lly kd 23l mraksh ybnyh'
Signification : Construire et progresser",ahmed02mk/amthal-hassaniya
2l ma y7mad alglyl ma y7md alkthyr,Remercier les autres,proverbe,"Proverbe : '2l ma y7mad alglyl ma y7md alkthyr'
Signification : Remercier les autres",ahmed02mk/amthal-hassaniya
2l ma shaf alsma la tn3tha lh,Ne conseille pas les sourds,proverbe,"Proverbe : '2l ma shaf alsma la tn3tha lh'
Signification : Ne conseille pas les sourds",ahmed02mk/amthal-hassaniya
2l ma 236ak w4n la t5aaliyh,Parle à qui t'écoute,proverbe,"Proverbe : '2l ma 236ak w4n la t5aaliyh'
Signification : Parle à qui t'écoute",ahmed02mk/amthal-hassaniya
2l ma ysm3 kwn bw4nyh y36yh 26rsh,Les idiots ne comprennent pas,proverbe,"Proverbe : '2l ma ysm3 kwn bw4nyh y36yh 26rsh'
Signification : Les idiots ne comprennent pas",ahmed02mk/amthal-hassaniya
2l ma ntks kyf 2lly 2nzad,"Pas de perte, pas de gain",proverbe,"Proverbe : '2l ma ntks kyf 2lly 2nzad'
Signification : Pas de perte, pas de gain",ahmed02mk/amthal-hassaniya
2lly ma yraby ma ylaby,Éduque ton animal,proverbe,"Proverbe : '2lly ma yraby ma ylaby'
Signification : Éduque ton animal",ahmed02mk/amthal-hassaniya
2l ma y7lb bayd ma ybya8 25dydu,Fais-toi aider,proverbe,"Proverbe : '2l ma y7lb bayd ma ybya8 25dydu'
Signification : Fais-toi aider",ahmed02mk/amthal-hassaniya
2l ma a36ah n kmuu y36yh mn fmuu,Donne ou parle,proverbe,"Proverbe : '2l ma a36ah n kmuu y36yh mn fmuu'
Signification : Donne ou parle",ahmed02mk/amthal-hassaniya
2l ma 5sr ma ysl7,Expérimente d'abord,proverbe,"Proverbe : '2l ma 5sr ma ysl7'
Signification : Expérimente d'abord",ahmed02mk/amthal-hassaniya
2l ma 3ndw shy ma ykwn shy,L'argent est important,proverbe,"Proverbe : '2l ma 3ndw shy ma ykwn shy'
Signification : L'argent est important",ahmed02mk/amthal-hassaniya
2l ml7 ma ml7 jar kyf 2lly ma ml7,Partage tes gains,proverbe,"Proverbe : '2l ml7 ma ml7 jar kyf 2lly ma ml7'
Signification : Partage tes gains",ahmed02mk/amthal-hassaniya
2l mdrk bal2yam 3ryan,Avertir du mensonge,proverbe,"Proverbe : '2l mdrk bal2yam 3ryan'
Signification : Avertir du mensonge",ahmed02mk/amthal-hassaniya
2l mannak ma hnak,Avertir du faux,proverbe,"Proverbe : '2l mannak ma hnak'
Signification : Avertir du faux",ahmed02mk/amthal-hassaniya
2l 2ml fmm b2dkyk y3rf 2bash yblw,Connaître son intérêt,proverbe,"Proverbe : '2l 2ml fmm b2dkyk y3rf 2bash yblw'
Signification : Connaître son intérêt",ahmed02mk/amthal-hassaniya
2l nyak 23shar ytkr3 alr8wa,L'importance de l'espoir,proverbe,"Proverbe : '2l nyak 23shar ytkr3 alr8wa'
Signification : L'importance de l'espoir",ahmed02mk/amthal-hassaniya
2l y3rf sn3t jmlu ma ay6y7u,Traiter les gens,proverbe,"Proverbe : '2l y3rf sn3t jmlu ma ay6y7u'
Signification : Traiter les gens",ahmed02mk/amthal-hassaniya
2l y8lb sa7bu 2jn 23lyh,Traiter les faibles,proverbe,"Proverbe : '2l y8lb sa7bu 2jn 23lyh'
Signification : Traiter les faibles",ahmed02mk/amthal-hassaniya
ma 27mak ya 7dja,Comparer de manière fausse,proverbe,"Proverbe : 'ma 27mak ya 7dja'
Signification : Comparer de manière fausse",ahmed02mk/amthal-hassaniya
ma kna 2rkwb wla 67n,Se passer de quelque chose,proverbe,"Proverbe : 'ma kna 2rkwb wla 67n'
Signification : Se passer de quelque chose",ahmed02mk/amthal-hassaniya
ma ymwt l3jl wla tybs 2tadyt,Être modéré,proverbe,"Proverbe : 'ma ymwt l3jl wla tybs 2tadyt'
Signification : Être modéré",ahmed02mk/amthal-hassaniya
mahu mzrb bafrnan,Droit de protection,proverbe,"Proverbe : 'mahu mzrb bafrnan'
Signification : Droit de protection",ahmed02mk/amthal-hassaniya
ma tw58 23lyh alklma,Homme sans honte,proverbe,"Proverbe : 'ma tw58 23lyh alklma'
Signification : Homme sans honte",ahmed02mk/amthal-hassaniya
mah kl 2jdr ynjbr 3ndw wl 3m,Supporte les cousins,proverbe,"Proverbe : 'mah kl 2jdr ynjbr 3ndw wl 3m'
Signification : Supporte les cousins",ahmed02mk/amthal-hassaniya
m7kn adrs,Homme inutile,proverbe,"Proverbe : 'm7kn adrs'
Signification : Homme inutile",ahmed02mk/amthal-hassaniya
2mshh lkwarb fanshaf,Menteurs,proverbe,"Proverbe : '2mshh lkwarb fanshaf'
Signification : Menteurs",ahmed02mk/amthal-hassaniya
mshyt 3jl 2hl aldyk,Disparu sans trace,proverbe,"Proverbe : 'mshyt 3jl 2hl aldyk'
Signification : Disparu sans trace",ahmed02mk/amthal-hassaniya
mshwra fm alkrba,Retard excessif,proverbe,"Proverbe : 'mshwra fm alkrba'
Signification : Retard excessif",ahmed02mk/amthal-hassaniya
mshyt l8rab,Rien à offrir,proverbe,"Proverbe : 'mshyt l8rab'
Signification : Rien à offrir",ahmed02mk/amthal-hassaniya
m3rfa 2nsa 2f8a7a,Respecter les proches,proverbe,"Proverbe : 'm3rfa 2nsa 2f8a7a'
Signification : Respecter les proches",ahmed02mk/amthal-hassaniya
mnsab 4a 7lm,Rêves impossibles,proverbe,"Proverbe : 'mnsab 4a 7lm'
Signification : Rêves impossibles",ahmed02mk/amthal-hassaniya
alnas t8lbny w2na n8lb zwjty,Lâche ou faible,proverbe,"Proverbe : 'alnas t8lbny w2na n8lb zwjty'
Signification : Lâche ou faible",ahmed02mk/amthal-hassaniya
nb8ylk b8yk wla nkrh lk krhk,Respecter les autres,proverbe,"Proverbe : 'nb8ylk b8yk wla nkrh lk krhk'
Signification : Respecter les autres",ahmed02mk/amthal-hassaniya
nb7tu lklyba,Réagir sans raison,proverbe,"Proverbe : 'nb7tu lklyba'
Signification : Réagir sans raison",ahmed02mk/amthal-hassaniya
n3jt lm3yz,Manque d'unité,proverbe,"Proverbe : 'n3jt lm3yz'
Signification : Manque d'unité",ahmed02mk/amthal-hassaniya
n3jt lkbash,Égalité des sexes,proverbe,"Proverbe : 'n3jt lkbash'
Signification : Égalité des sexes",ahmed02mk/amthal-hassaniya
n36yk 3bd y8yr ma n36yk nyth,Récompenser les travailleurs,proverbe,"Proverbe : 'n36yk 3bd y8yr ma n36yk nyth'
Signification : Récompenser les travailleurs",ahmed02mk/amthal-hassaniya
nf5t armad,Action nuisible,proverbe,"Proverbe : 'nf5t armad'
Signification : Action nuisible",ahmed02mk/amthal-hassaniya
nwash 2sb3,Prendre des risques,proverbe,"Proverbe : 'nwash 2sb3'
Signification : Prendre des risques",ahmed02mk/amthal-hassaniya
nwasht aldyk,Influencer de l'extérieur,proverbe,"Proverbe : 'nwasht aldyk'
Signification : Influencer de l'extérieur",ahmed02mk/amthal-hassaniya
h4a ally ma sbru ynf87,Patienter en difficulté,proverbe,"Proverbe : 'h4a ally ma sbru ynf87'
Signification : Patienter en difficulté",ahmed02mk/amthal-hassaniya
ha4 mah dymany,Comportement immoral,proverbe,"Proverbe : 'ha4 mah dymany'
Signification : Comportement immoral",ahmed02mk/amthal-hassaniya
wakl 2rbaa6u,Homme bavard,proverbe,"Proverbe : 'wakl 2rbaa6u'
Signification : Homme bavard",ahmed02mk/amthal-hassaniya
w7dh kal shway alzzbda,Expérience unique,proverbe,"Proverbe : 'w7dh kal shway alzzbda'
Signification : Expérience unique",ahmed02mk/amthal-hassaniya
alw7sh aldaaaw i 2kyaam alw7sh albark,Imitation,proverbe,"Proverbe : 'alw7sh aldaaaw i 2kyaam alw7sh albark'
Signification : Imitation",ahmed02mk/amthal-hassaniya
2wrd mn dlw,Visites fréquentes,proverbe,"Proverbe : '2wrd mn dlw'
Signification : Visites fréquentes",ahmed02mk/amthal-hassaniya
2wkl mn lr8a,Gourmandise,proverbe,"Proverbe : '2wkl mn lr8a'
Signification : Gourmandise",ahmed02mk/amthal-hassaniya
wklt 2lhat ma ykl3ha mah allsan,Autonomie,proverbe,"Proverbe : 'wklt 2lhat ma ykl3ha mah allsan'
Signification : Autonomie",ahmed02mk/amthal-hassaniya
wl 23zwz,Faiblesse,proverbe,"Proverbe : 'wl 23zwz'
Signification : Faiblesse",ahmed02mk/amthal-hassaniya
al4yl ma ytlb,Changement total,proverbe,"Proverbe : 'al4yl ma ytlb'
Signification : Changement total",ahmed02mk/amthal-hassaniya
y5ng aldyk 23l 7ba,Avarice,proverbe,"Proverbe : 'y5ng aldyk 23l 7ba'
Signification : Avarice",ahmed02mk/amthal-hassaniya
yd 2tsb7 wl5r t4b7,Dualité,proverbe,"Proverbe : 'yd 2tsb7 wl5r t4b7'
Signification : Dualité",ahmed02mk/amthal-hassaniya
2yd tn7b ma t6rsh,Respecter les grands,proverbe,"Proverbe : '2yd tn7b ma t6rsh'
Signification : Respecter les grands",ahmed02mk/amthal-hassaniya
2yd tktb w5r tm7y,Détruire et construire,proverbe,"Proverbe : '2yd tktb w5r tm7y'
Signification : Détruire et construire",ahmed02mk/amthal-hassaniya
yrks l2hl l7rytha,Frappe sans but,proverbe,"Proverbe : 'yrks l2hl l7rytha'
Signification : Frappe sans but",ahmed02mk/amthal-hassaniya
yrb6 asrwal ally mah rajl,Méfiez-vous des apparences,proverbe,"Proverbe : 'yrb6 asrwal ally mah rajl'
Signification : Méfiez-vous des apparences",ahmed02mk/amthal-hassaniya
y3ml 2rd 25barna ally yb8yna,Rôle du messager,proverbe,"Proverbe : 'y3ml 2rd 25barna ally yb8yna'
Signification : Rôle du messager",ahmed02mk/amthal-hassaniya
yktb bal3wdan wy8sl balwdyan,Construire et détruire,proverbe,"Proverbe : 'yktb bal3wdan wy8sl balwdyan'
Signification : Construire et détruire",ahmed02mk/amthal-hassaniya
ymsh bshwr 2lly f5laku yjry,Agir avec prudence,proverbe,"Proverbe : 'ymsh bshwr 2lly f5laku yjry'
Signification : Agir avec prudence",ahmed02mk/amthal-hassaniya
ymrk alras ally ma 2mrk alkras,Importance de la preuve,proverbe,"Proverbe : 'ymrk alras ally ma 2mrk alkras'
Signification : Importance de la preuve",ahmed02mk/amthal-hassaniya
26ls mjnwn w27km 8ayra,Jalousie intense,proverbe,"Proverbe : '26ls mjnwn w27km 8ayra'
Signification : Jalousie intense",ahmed02mk/amthal-hassaniya
initi w7al v lbassi,Burrs have stuck to my clothes.,phrases_completes,En hassaniya : 'initi w7al v lbassi'. En arabe : 'اينيتي وحل فلباسي'.,Hassan-IA/DAH
"mnin yengal chi, yaltou yo3adal","When something is said, act quickly.",phrases_completes,"En hassaniya : 'mnin yengal chi, yaltou yo3adal'. En arabe : 'الكلام منين نگال، يالتو يعدل'.",Hassan-IA/DAH
esserag mcha ma3lem bih hed o rfed lfedda,The thief has gone secretly and stolen money.,phrases_completes,En hassaniya : 'esserag mcha ma3lem bih hed o rfed lfedda'. En arabe : 'السّراگ مشا  ما علم بيه حد او  رفد الفضة.'.,Hassan-IA/DAH
rrjal ytrrf kif ssraq,The man is blinking like a thief.,phrases_completes,En hassaniya : 'rrjal ytrrf kif ssraq'. En arabe : 'الراجل يطرّف كيف السّراق.'.,Hassan-IA/DAH
hia 3adlet maro l3sha,She is cooking rice for dinner.,phrases_completes,En hassaniya : 'hia 3adlet maro l3sha'. En arabe : 'هي عدلت مارو للعشا.'.,Hassan-IA/DAH
kna ela mjaw9inw yeghir yban nfge3,We were joking and he responded with anger.,phrases_completes,En hassaniya : 'kna ela mjaw9inw yeghir yban nfge3'. En arabe : 'كنا لا مجوقين يغير يبان انفگع.'.,Hassan-IA/DAH
 nar gdhat w 7erget 6fel,The fire has sparked and burnt the child.,phrases_completes,En hassaniya : ' nar gdhat w 7erget 6fel'. En arabe : 'النار گدات ار لسعت الطفيل.'.,Hassan-IA/DAH
lwalda kant wakhtha m3a trig w 6feil tba3ha,The mother was going down the road and the child pursued her.,phrases_completes,En hassaniya : 'lwalda kant wakhtha m3a trig w 6feil tba3ha'. En arabe : 'المرا كانت واخضة او  الطفيل اتبعها.'.,Hassan-IA/DAH
refdou 3la dher,carry it on the back.,phrases_completes,En hassaniya : 'refdou 3la dher'. En arabe : 'رفدوا على الظهر'.,Hassan-IA/DAH
bayga lsgat flbassi,A bug has stuck to my dress.,phrases_completes,En hassaniya : 'bayga lsgat flbassi'. En arabe : 'بايگة لصقت فلباسي'.,Hassan-IA/DAH
tha li guelt zeyn ou mounek,I have supported your suggestion.,phrases_completes,En hassaniya : 'tha li guelt zeyn ou mounek'. En arabe : 'ذا لي گلت زين او مونك.'.,Hassan-IA/DAH
treh karsiyin ou jibhoum m3ak,Put two chairs together and bring them.,phrases_completes,En hassaniya : 'treh karsiyin ou jibhoum m3ak'. En arabe : 'طرح كرسيين او جيبهم معاك.'.,Hassan-IA/DAH
huwa gbeth chi mn lgbal o 3tah li,He removed some corn from the cob and gave it to me.,phrases_completes,En hassaniya : 'huwa gbeth chi mn lgbal o 3tah li'. En arabe : 'هو گبظ شي من الگبال او عطاه لي.'.,Hassan-IA/DAH
a7mad 3ada ygdi daygat m3a arwagij,Ahmed usually urges people to fight.,phrases_completes,En hassaniya : 'a7mad 3ada ygdi daygat m3a arwagij'. En arabe : 'أحمد يگدي الدايگات مع ارواگيج.'.,Hassan-IA/DAH
thi sayda ghrat fia b3d ma jbartha,This girl stuck to me after we met.,phrases_completes,En hassaniya : 'thi sayda ghrat fia b3d ma jbartha'. En arabe : 'ذي الصيدة غرات فيا بعد ما جبرتها.'.,Hassan-IA/DAH
aragaj yaltou may3oud 3wilil,Wild behaviour is not good.,phrases_completes,En hassaniya : 'aragaj yaltou may3oud 3wilil'. En arabe : 'ارگاج يالتو ما يعود عويليل'.,Hassan-IA/DAH
"mnin tawal s7ab f seb7, nass matgiss fla7tha","If it rains for long in the morning, people don’t go farming.",phrases_completes,"En hassaniya : 'mnin tawal s7ab f seb7, nass matgiss fla7tha'. En arabe : 'الا  جات السحاب الرجلي ما لاهي يگيسوا    فلاحتهم.'.",Hassan-IA/DAH
mazelt ma mshit,I have not yet gone.,phrases_completes,En hassaniya : 'mazelt ma mshit'. En arabe : 'ما زلت مامشيت.'.,Hassan-IA/DAH
